tsim,phi1_ex_1,phi2_ex_1,phi1_ex_2,phi2_ex_2,phi1_ex_3,phi2_ex_3,phi1_ex_4,phi2_ex_4,phi1_ex_5,phi2_ex_5
2747.47474747475,818.44933520257,938.060370951992,841.116518751787,889.862481466082,845.614876430503,845.614876430503,803.401693768106,805.141567743128,719.947252539286,768.266562476032
2787.87878787879,824.736739632022,950.369401307465,849.336389136659,901.465985699687,856.514515515186,856.514515515186,816.122581207241,815.347207945614,732.573086466106,777.79487507237
2828.28282828283,830.711238723607,962.440543815276,857.273429418042,912.849678326778,867.210336440495,867.210336440495,828.77966417305,825.363128614117,745.255818083521,787.145884583827
2868.68686868687,836.383594736206,974.268673689136,864.930995041252,924.008735912805,877.697900578706,877.697900578706,841.365227684202,835.185332714827,757.990068669974,796.316069768876
2909.09090909091,841.764755280861,985.84935593566,872.312996401409,934.938961758922,887.973337187668,887.973337187668,853.871736445749,844.810336688086,770.770369023059,805.302372812242
2949.49494949495,846.865773106519,997.178833194082,879.423843010569,945.6367756237,898.033334322947,898.033334322947,866.291851982263,854.235162023728,783.591168595065,814.102191184369
2989.89898989899,851.697734014115,1008.25401047994,886.268388917058,956.099200652831,907.875127271035,907.875127271035,878.61844874837,863.457324667157,796.446844931301,822.713367629588
3030.30303030303,856.271692674735,1019.07243712868,892.851879759358,966.323847773233,917.496484727159,917.496484727159,890.844629148472,872.47482245237,809.331713377963,831.134178456416
3070.70707070707,860.598616041959,1029.63228624321,899.179901775514,976.308897815939,926.895692948245,926.895692948245,902.9637374068,881.286120763907,822.240037024561,839.363320307691
3111.11111111111,864.689333982737,1039.93233195319,905.258333030319,986.053081636172,936.071538115355,936.071538115355,914.969372238616,889.890136632684,835.166036844416,847.399895590201
3151.51515151515,868.554496703269,1049.97192479317,911.09329706716,995.555658499428,945.02328714049,945.02328714049,926.85539828321,898.286221470911,848.103901995468,855.243396743141
3191.91919191919,872.204538514087,1059.75096550259,916.691119139947,1004.8163929995,953.750667150433,953.750667150433,938.615956269233,906.474142649269,861.04780024257,862.893689522471
3232.32323232323,875.649647459788,1069.2698775427,922.058285133399,1013.83553076846,962.253843875468,962.253843875468,950.245471892782,914.454064115146,873.991888461667,870.350995474089
3272.72727272727,878.899740331527,1078.52957861496,927.201403237346,1022.61377323013,970.53339916372,970.53339916372,961.738663398289,922.226526244591,886.930323185704,877.615873763063
3313.13131313131,881.964442582467,1087.53145145241,932.12716840275,1031.15225163783,978.590307832834,978.590307832834,973.090547861746,929.792425112728,899.857271151858,884.689202519066
3353.53535353535,884.853072676109,1096.27731413997,936.842329573786,1039.45250062448,986.425914060014,986.425914060014,984.296446184797,937.152991358129,912.766919809653,891.572159849947
3393.93939393939,887.574630413227,1104.76939020318,941.353659661532,1047.5164314792,994.041907499408,994.041907499408,995.351986816887,944.309768806262,925.653487749786,898.26620466621
3434.34343434343,890.137788803391,1113.0102786864,945.66792820031,1055.34630534894,1001.44029930281,1001.44029930281,1006.25310823074,951.264593005826,938.511235014019,904.773057449342
3474.74747474747,892.550889070761,1121.00292442296,949.791876607354,1062.9447065479,1008.62339820582,1008.62339820582,1016.99606018392,958.01956981991,951.334473247261,911.094681086527
3515.15151515152,894.821938409673,1128.75058868011,953.732195949892,1070.31451614068,1015.59378682734,1015.59378682734,1027.57740380617,964.577054201569,964.117575653992,917.233261883601
3555.55555555556,896.958610132752,1136.25682034208,957.49550711067,1077.45888594824,1022.35429831577,1022.35429831577,1037.99401055837,970.939629270876,976.854986722457,923.191190857252
3595.9595959596,898.968245882081,1143.52542777547,961.088343233051,1084.38121310909,1028.90799346072,1028.90799346072,1048.24306011437,977.110085797967,989.541231681543,928.971045396603
3636.36363636364,900.857859601697,1150.56045150167,964.517134319756,1091.08511531142,1035.25813837471,1035.25813837471,1058.32203722198,983.091402184159,1002.17092565698,934.575571373616
3676.76767676768,902.63414299693,1157.36613778317,967.788193854804,1097.57440679584,1041.4081828353,1041.4081828353,1068.22872760309,988.886725021118,1014.73878249537,940.007665771284
3717.17171717172,904.303472232458,1163.94691321244,970.907707315828,1103.85307521281,1047.36173936453,1047.36173936453,1077.96121295637,994.499350296298,1027.23962322673,945.270359888471
3757.57575757576,905.871915646137,1170.30736037581,973.88172244352,1109.92525940415,1053.12256310975,1053.12256310975,1087.51786512866,999.932705301681,1039.66838413826,950.366803170601
3797.9797979798,907.345242279498,1176.45219464882,976.716141136085,1115.79522816408,1058.69453257744,1058.69453257744,1096.89733952281,1005.1903312922,1052.02012443482,955.300247706242
3838.38383838384,908.728931048134,1182.38624216507,979.416712839067,1121.46736002213,1064.08163126047,1064.08163126047,1106.09856781101,1010.27586693026,1064.29003346349,960.074033421011
3878.78787878788,910.028180395991,1188.11441898709,981.989029304494,1126.94612407829,1069.28793018833,1069.28793018833,1115.12075002346,1015.19303254347,1076.47343748298,964.69157399225
3919.19191919192,911.247918296712,1193.64171149575,984.438520597713,1132.23606190981,1074.31757142019,1074.31757142019,1123.96334608162,1019.94561521411,1088.56580596037,969.156343500515
3959.59595959596,912.392812482827,1198.97315800341,986.77045223543,1137.34177055892,1079.17475249181,1079.17475249181,1132.62606684534,1024.53745471119,1100.56275738132,973.471863827177
4000,913.467280799565,1204.1138315865,988.989923344074,1142.26788660175,1083.86371181899,1083.86371181899,1141.10886474147,1028.97243026859,1112.46006456178,977.641692801307
