example1t_elapsed,example1wormlength,example2t_elapsed,example2wormlength,example3t_elapsed,example3wormlength
257.87914652427,173.392862091064,8.44196143945058,155.160933151245,735.851381266117,224.122862091064
275.978481141726,198.339044952393,51.0426324446996,158.478796005249,746.517983607451,239.226679229736
281.944390535355,174.040704574585,68.1097263177236,149.362841720581,757.21778417031,214.090724945068
287.878729772568,176.062841720581,76.6429451107979,149.362841720581,767.984885422389,225.686907806396
299.845443248749,178.732862091064,85.2089277585348,150.926887435913,778.584739557902,233.618338851929
305.97862556378,170.264750289917,136.476181189219,150.279024581909,810.617742594083,236.098567428589
311.845389254888,196.9647706604,153.575935455163,155.619034767151,831.917791601022,243.650496368408
317.845085398356,164.087136383057,170.541886115074,152.949034767151,863.917933177948,253.872404937744
335.978768642743,174.956887435913,187.608964550495,160.042841720581,874.518164002895,253.22454208374
341.945230491956,206.728567428589,196.243243567149,184.799293899536,885.251334667206,248.990496368408
347.944925049941,204.516658859253,230.309027433395,208.560953521729,895.917880570889,237.394293136597
359.911642408371,156.077136383057,238.8089296182,219.430724945068,959.917692041397,260.966222076416
371.845119849841,188.496679229736,247.376018639406,158.936897621155,1066.58451018333,262.072176361084
377.878603982925,179.380704574585,272.909142637253,206.728587799072,1151.85145043929,274.58454208374
383.878854934374,209.666907806396,281.475681785742,210.772862091064,1194.61784652472,260.966222076416
389.911786035697,184.989044952393,290.042831242085,157.372841720581,1237.25153417985,283.890247421265
395.845015776157,180.296907806396,298.643273238341,150.926887435913,1247.8511131525,293.385744552612
401.978752919038,176.252613143921,307.075991332531,154.702841720581,1290.58447134097,290.336201705933
407.875427230199,179.380704574585,315.609209513664,172.9347706604,1301.31797819932,291.062653884888
413.978145786126,225.686907806396,324.210170543194,152.032851905823,1311.98476564487,298.80431350708
419.911377465725,209.208816375732,341.175651752949,196.048587799072,1322.58443327347,298.535993499756
425.911624046167,163.818796005249,349.709430456161,211.878816375732,1333.28457040389,290.067902069092
437.878893403212,197.154521713257,358.309275639057,213.632633514404,1343.88448224465,313.260247421265
455.944999619325,203.868816375732,366.77534062465,241.438587799072,1354.51801309188,310.51169883728
479.845195349058,196.048567428589,375.309735898177,219.620475997925,1365.31806911627,297.619790267944
485.945699270566,186.2847706604,383.842402939002,226.524521713257,1397.2180858175,328.36408493042
491.878374751409,209.398567428589,392.375619832675,252.498130645752,1429.18462151289,332.598130645752
497.978323702017,208.750724945068,409.442713721593,214.280496368408,1781.71790796518,379.741947784424
503.978575817744,219.240953521728,443.575604009628,177.626887435913,1792.45103548368,384.62385635376
521.978772695859,205.432882461548,452.141675782204,156.266887435913,1835.08472508987,388.779312744141
527.878216763337,215.196679229736,460.709869110584,203.410724945068,1867.31789193551,408.575267028809
533.878465147813,206.538816375732,486.275736033916,232.512404937744,1877.98465836048,422.193587036133
539.945183225473,197.344272766113,494.775656342506,231.6747706604,1888.75120121638,414.484581298828
545.845177936554,218.704293136597,503.309429260095,244.298359222412,1910.01793607076,413.535724182129
551.944575448831,191.166658859253,511.842647854487,192.272613143921,1931.35157769124,431.878896331787
557.944825315475,198.528816375732,520.375866707166,263.446450653076,1952.65134946108,437.297444915771
563.845376090209,219.430724945068,528.908633824189,263.636201705933,1984.71820963224,418.070764160156
569.845072730382,203.410724945068,537.442959662278,214.280496368408,1995.65122971535,451.13816986084
575.912341221174,196.964750289917,554.509398849805,272.562404937744,2006.28451192379,440.157216339111
581.845017198722,224.770704574585,563.042674505711,272.29408493042,2027.65146683057,449.920992736816
587.844716600577,237.20454208374,588.642373085022,267.412155990601,2038.2516041398,451.485079193115
593.97845316728,154.702841720581,597.176148013274,261.23454208374,2049.05146023432,447.977444915771
599.912235534191,212.794999237061,614.242131940524,260.39692817688,2059.61800593535,443.285307769775
605.845463804404,191.434999237061,639.842376430829,268.328359222412,2070.35150883992,454.691719207764
611.911627892653,234.3447706604,648.375659974416,256.542384567261,2102.3843399485,470.364850616455
617.845412246386,239.874521713257,656.909433646997,259.402155990601,2134.51812179883,476.810804901123
623.978038942814,205.701202468872,665.442100536823,264.284064559936,2155.95115559101,460.601033477783
629.91182521979,215.84454208374,674.008644588788,271.835973129272,2166.65133398374,474.029582061768
635.945308061441,210.124999237061,682.509196956952,265.658379592896,2177.21788785458,457.819810638428
647.878787326813,197.880953521729,699.576186462243,263.636201705933,2187.91808286905,485.815536346436
653.845253765583,209.208816375732,708.109406546752,247.236679229736,2209.18481874069,499.545038452148
659.977879925569,208.750724945068,725.175942373276,277.444333877563,2241.18494455417,500.762256317139
671.911915449301,207.913131408691,733.709160212676,307.19385635376,2273.58469129403,482.229353485107
677.878375589848,215.00692817688,742.242377785842,292.737902069092,2294.78479617437,493.635764923096
683.945095042388,213.711202468872,750.808911104997,257.916679229736,2369.4844933033,501.756987762451
695.845343299707,216.570953521729,759.309451131026,323.750496368408,2390.88452241818,518.424850616455
701.945292719205,222.290475997925,767.842687483629,315.472176361084,2412.68457450469,533.260307006836
707.845841741562,246.320496368408,776.375908549627,304.713607406616,2423.31802342335,530.400576324463
713.977920373281,235.640475997925,784.908572375774,277.634064559937,2434.08484812578,525.250307006836
725.878720712662,225.418587799072,801.975949939092,348.807902069092,2465.98475137552,545.393170623779
731.911648921172,239.874521713257,827.957624749343,325.235993499756,2487.45109994809,551.38107421875
737.91193048954,220.346907806396,853.423565018177,263.446450653076,2498.04968421857,552.866530609131
743.911595213413,247.158089904785,870.489999711514,349.91385635376,2530.55156858762,586.660347747803
749.845379209518,243.002633514404,879.023322447141,314.745724182129,2541.1847668767,572.204393463135
755.878309134642,239.416430282593,906.269373269876,241.818089904785,2551.85136666298,592.190119171143
767.945276451111,210.504521713257,923.301965606213,329.01192741394,2562.51813183228,593.106302032471
773.944970754782,257.91669960022,931.801869793733,259.402155990601,2573.28439905643,591.810576324463
785.912241526445,259.480745315552,949.002223261197,305.898130645752,2583.9847558856,603.675079193115
791.844917341073,235.908816375732,957.470476293564,352.852176361084,2594.55113399426,608.399890594482
797.878397834301,236.366907806396,965.935398904483,341.524333877563,2615.88477625847,602.032484893799
803.878649926186,256.542384567261,974.468617447217,325.772653884888,2626.5845779856,597.150535583496
809.845110118389,238.500247421265,991.569036845366,318.521719207764,2637.18482624292,605.998210601807
815.911825839678,244.756450653076,1000.13667347431,333.625495605469,2647.88462740183,610.421986999512
821.845056593418,251.392176361084,1008.70209815105,353.231678466797,2658.6514506499,616.599662017822
827.845305927594,245.862404937744,1017.26974183321,337.859582061768,2669.71799630324,604.244393463135
833.878798222542,240.522404937744,1025.66924107869,347.24385635376,2680.38487402201,603.328210601807
839.845251516501,248.074293136597,1034.33627895117,374.401947784424,2691.15134665966,616.867982025146
845.978434403737,244.756450653076,1042.7356779178,340.529541320801,2701.85149825017,657.297484130859
851.845197546482,230.948338851929,1051.3027714928,362.995536346436,2712.41811163823,630.597484130859
863.878376479944,238.310496368408,1059.86878281037,381.685536346436,2723.11795651913,645.432981262207
869.978880548477,222.938338851929,1068.36930759748,334.999831008911,2733.78455681006,628.274393463135
875.878875438372,259.212384567261,1076.93584535122,365.55431350708,2744.51795150836,642.003895568848
881.978271869818,243.840247421265,1085.46906204621,378.367673492432,2755.05156878233,633.424581298828
887.878821766377,244.298359222412,1094.03559566736,390.421988525391,2765.71805665493,641.624393463135
893.845283393065,228.736450653076,1102.4689642628,381.384582824707,2776.41797118584,638.417753448486
