example1t_elapsed,example1wormlength,example2t_elapsed,example2wormlength,example3t_elapsed,example3wormlength,example4t_elapsed,example4wormlength
5.94563569625219,151.384989051819,8.44196143945058,155.160933151245,735.851381266117,224.122862091064,21.2172028144201,166.030704574585
11.8456332683563,184.262613143921,51.0426324446996,158.478796005249,746.517983607451,239.226679229736,85.316693576177,160.042841720581
47.9119371891022,172.934750289917,68.1097263177236,149.362841720581,757.21778417031,214.090724945068,95.9171135425568,167.404999237061
53.8789575894674,171.370704574585,76.6429451107979,149.362841720581,767.984885422389,225.686907806396,191.91633657217,182.966907806396
59.9789041320483,178.2747706604,85.2089277585348,150.926887435913,778.584739557902,233.618338851929,213.289682757854,194.48454208374
71.845370999972,160.500943336487,136.476181189219,150.279024581909,810.617742594083,236.098567428589,277.184003690879,205.622633514404
83.9117777903875,156.724989051819,153.575935455163,155.619034767151,831.917791601022,243.650496368408,298.623147805532,192.540953521729
89.9784932255745,159.126648674011,170.541886115074,152.949034767151,863.917933177948,253.872404937744,341.183004303773,223.206658859253
113.878688172499,167.863100852966,187.608964550495,160.042841720581,874.518164002895,253.22454208374,351.983137309551,214.738587799072
125.845404052734,150.089273529053,196.243243567149,184.799293899536,885.251334667206,248.990496368408,373.28291383187,137.197375144958
131.878329225381,194.752862091064,230.309027433395,208.560953521729,895.917880570889,237.394293136597,394.590461667379,213.442862091064
155.878778787454,151.843080482483,238.8089296182,219.430724945068,959.917692041397,260.966222076416,447.850216837724,224.770724945068
173.91220874389,184.452364196777,247.376018639406,158.936897621155,1066.58451018333,262.072176361084,458.616381676992,204.516658859253
179.978922398885,182.508796005249,272.909142637253,206.728587799072,1151.85145043929,274.58454208374,501.316433461507,211.420724945068
221.878758589427,199.903090667725,281.475681785742,210.772862091064,1194.61784652472,260.966222076416,511.850869810581,175.873090667725
227.845224475861,196.9647706604,290.042831242085,157.372841720581,1237.25153417985,283.890247421265,533.250034995874,234.53454208374
359.912211128076,184.072862091064,298.643273238341,150.926887435913,1247.8511131525,293.385744552612,543.983166754246,203.600496368408
365.945144454638,163.629044952393,307.075991332531,154.702841720581,1290.58447134097,290.336201705933,639.916405069828,218.134999237061
371.912155397733,195.400704574585,315.609209513664,172.9347706604,1301.31797819932,291.062653884888,650.583286126455,196.696409912109
383.945336846511,167.136658859253,324.210170543194,152.032851905823,1311.98476564487,298.80431350708,853.249603152275,290.146450653076
413.84522840182,194.2947706604,341.175651752949,196.048587799072,1322.58443327347,298.535993499756,863.850035174688,282.78431350708
419.878710865974,202.494521713257,349.709430456161,211.878816375732,1333.28457040389,290.067902069092,885.316386600335,263.636222076416
443.978857791424,206.080724945068,358.309275639057,213.632633514404,1343.88448224465,313.260247421265,895.984098466237,261.692633514404
449.878854592641,194.752862091064,366.77534062465,241.438587799072,1354.51801309188,310.51169883728,906.51704625686,273.668338851929
455.978804095586,209.130247421265,375.309735898177,219.620475997925,1365.31806911627,297.619790267944,938.649998311202,321.460039215088
467.945516542594,227.440724945068,383.842402939002,226.524521713257,1397.2180858175,328.36408493042,959.983085445563,296.592384567261
929.84568798542,295.865993499756,392.375619832675,252.498130645752,1429.18462151289,332.598130645752,970.617091866334,329.090496368408
941.87886771361,299.720496368408,409.442713721593,214.280496368408,1781.71790796518,379.741947784424,1098.51745227973,349.72408493042
947.979371229807,284.080039215088,443.575604009628,177.626887435913,1792.45103548368,384.62385635376,1269.31708848874,339.770496368408
953.845028611024,207.83454208374,452.141675782204,156.266887435913,1835.08472508987,388.779312744141,1279.85036041339,372.000267791748
965.945778842767,264.362633514404,460.709869110584,203.410724945068,1867.31789193551,408.575267028809,1290.61713955402,349.455724182129
971.978709745407,213.632613143921,486.275736033916,232.512404937744,1877.98465836048,422.193587036133,1301.21708141963,379.741907043457
977.978959302107,291.900247421265,494.775656342506,231.6747706604,1888.75120121638,414.484581298828,1311.95050728718,347.24385635376
983.97865664959,300.100039215088,503.309429260095,244.298359222412,1910.01793607076,413.535724182129,1322.62348997196,371.731947784424
