r_sq_pop,mean_r_sq_sample,std_r_sq_sample
-0.654632339710392,-0.713152119053571,0.127117018457806
0.885977781828553,0.784029933511347,0.216583683635754
0.0852431455298931,0.107438241158387,0.345580647871302
0.388458713814343,0.134197184697168,0.294946144362601
-0.809146949145398,-0.731707577195593,0.171470200764594
-0.743865193437347,-0.300011436037062,0.277418692703201
-0.399894886687039,-0.121370082570411,0.244862346171298
0.422592552767709,0.387010230713568,0.345628198147849
0.54258563656631,0.113035532644279,0.285229184986842
0.284965980429748,-0.0196870435315544,0.373783500812356
