t_elapsed,wormlength
257.87914652427,173.392862091064
275.978481141726,198.339044952393
281.944390535355,174.040704574585
287.878729772568,176.062841720581
299.845443248749,178.732862091064
305.97862556378,170.264750289917
311.845389254888,196.9647706604
317.845085398356,164.087136383057
335.978768642743,174.956887435913
341.945230491956,206.728567428589
347.944925049941,204.516658859253
359.911642408371,156.077136383057
371.845119849841,188.496679229736
377.878603982925,179.380704574585
383.878854934374,209.666907806396
389.911786035697,184.989044952393
395.845015776157,180.296907806396
401.978752919038,176.252613143921
407.875427230199,179.380704574585
413.978145786126,225.686907806396
419.911377465725,209.208816375732
425.911624046167,163.818796005249
437.878893403212,197.154521713257
455.944999619325,203.868816375732
479.845195349058,196.048567428589
485.945699270566,186.2847706604
491.878374751409,209.398567428589
497.978323702017,208.750724945068
503.978575817744,219.240953521728
521.978772695859,205.432882461548
527.878216763337,215.196679229736
533.878465147813,206.538816375732
539.945183225473,197.344272766113
545.845177936554,218.704293136597
551.944575448831,191.166658859253
557.944825315475,198.528816375732
563.845376090209,219.430724945068
569.845072730382,203.410724945068
575.912341221174,196.964750289917
581.845017198722,224.770704574585
587.844716600577,237.20454208374
593.97845316728,154.702841720581
599.912235534191,212.794999237061
605.845463804404,191.434999237061
611.911627892653,234.3447706604
617.845412246386,239.874521713257
623.978038942814,205.701202468872
629.91182521979,215.84454208374
635.945308061441,210.124999237061
647.878787326813,197.880953521729
653.845253765583,209.208816375732
659.977879925569,208.750724945068
671.911915449301,207.913131408691
677.878375589848,215.00692817688
683.945095042388,213.711202468872
695.845343299707,216.570953521729
701.945292719205,222.290475997925
707.845841741562,246.320496368408
713.977920373281,235.640475997925
725.878720712662,225.418587799072
731.911648921172,239.874521713257
737.91193048954,220.346907806396
743.911595213413,247.158089904785
749.845379209518,243.002633514404
755.878309134642,239.416430282593
767.945276451111,210.504521713257
773.944970754782,257.91669960022
785.912241526445,259.480745315552
791.844917341073,235.908816375732
797.878397834301,236.366907806396
803.878649926186,256.542384567261
809.845110118389,238.500247421265
815.911825839678,244.756450653076
821.845056593418,251.392176361084
827.845305927594,245.862404937744
833.878798222542,240.522404937744
839.845251516501,248.074293136597
845.978434403737,244.756450653076
851.845197546482,230.948338851929
863.878376479944,238.310496368408
869.978880548477,222.938338851929
875.878875438372,259.212384567261
881.978271869818,243.840247421265
887.878821766377,244.298359222412
893.845283393065,228.736450653076
899.845536386967,249.828110275269
905.845229617755,253.414293136597
911.845477759838,238.500247421265
923.945124240716,246.968359222412
935.878605683645,283.700516738892
947.979358482361,212.068587799072
959.978750872612,261.23454208374
965.845513919989,267.412176361084
971.878442847729,253.682633514404
977.844905869166,272.752176361084
983.978086702029,256.162862091064
989.911319077015,262.608816375732
1001.91126540899,233.997881698608
1008.00179827611,270.998359222412
1013.91176403761,275.042633514404
1019.94524649382,257.838130645752
1025.911155955,266.495993499756
1031.91140774886,282.78431350708
1037.84518790642,290.98408493042
1043.91135174433,270.998338851929
1049.84458241463,263.636201705933
1067.84477564494,298.994064559937
1073.94528364738,300.368359222412
1079.94553038279,306.166450653076
1085.94522571961,302.31192741394
1091.87845667601,316.120039215088
1097.978962032,302.848608169556
1103.87784860134,317.68408493042
1109.97835026979,299.183835983276
1115.97860354185,266.116450653076
1121.94506542683,285.26454208374
1127.84561648369,304.334105300903
1133.87854510546,295.29669960022
1139.8450138092,308.110039215088
1145.91172500054,300.368359222412
1151.87874510686,302.31192741394
1157.9449047327,288.582404937744
1163.977835385,321.270267791748
1169.84570724567,250.286201705933
1181.97858341138,292.816450653076
1187.94505014817,292.279790267944
1193.97852962414,303.038359222412
1199.94499629339,333.625515975952
1205.97847894033,328.17431350708
1211.94493981202,326.341947784424
1217.8454911828,323.940267791748
1223.94433230162,342.820039215088
1229.91134835084,316.578130645752
1235.97806839148,345.948130645752
1242.15168063641,287.47647102356
1242.22368667126,281.220267791748
1248.22836906115,240.712155990601
1260.09538075924,318.790059585571
1266.16154445012,291.900267791748
1272.09532717466,326.34192741394
1278.16204749346,344.38408493042
1284.12850917578,329.470059585571
1290.09496943156,378.367673492432
1296.19547471603,332.140039215088
1302.09546998739,329.849541320801
1308.19542209705,368.60385635376
1314.1945622921,326.152176361084
